Category,Subcategory,Title,Author
American History,,"A History of the American People: The Classic Narrative History of the United States told through Letters, Diaries, and Conversations",Paul  Johnson
American History,,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart
American History,,The American Patriot's Almanac,William J. Bennett
American History,20th Century,"America Ascendant: From Theodore Roosevelt to FDR in the Century of American Power, 1901-1945",Sean Dennis Cashman
American History,20th Century,Great Society: A New History,Amity Shlaes
American History,Antebellum,The Rise and Fall of the American Whig Party: Jacksonian Politics and the Onset of the Civil War,Michael F. Holt
American History,Antebellum,"What Hath God Wrought: The Transformation of America, 1815 - 1848",Daniel Walker Howe
American History,Civil War,Battle Cry of Freedom: The Civil War Era,James M. McPherson
American History,Civil War,Clouds of Glory: The Life and Legend of Robert E. Lee,Michael Korda
American History,Civil War,The Civil War in 50 Objects,Harold Holzer
American History,Cold War,Blacklisted by History: The Untold Story of Senator Joe McCarthy and His Fight Against America's Enemies,M. Stanton Evans
American History,Colonial,"Crucible of War: The Seven Years' War and the Fate of Empire in British North America, 1754 - 1766",Fred  Anderson
American History,Colonial,"Roger Williams and the Creation of the American Soul: Church, State, and the Birth of Liberty",John M. Barry
American History,Constitution,America's Constitution: A Biography,Akhil Reed Amar
American History,Constitution,"Miracle at Philadelphia: The Story of the Constitutional Convention, May to September 1787",Catherine Drinker Bowen
American History,Constitution,The Anti-Federalist Papers and the Constitutional Convention Debates,Ralph Louis Ketcham
American History,Constitution,The Constitution of the United States of America and Selected Writings of the Founding Fathers,Various
American History,Constitution,The Federalist,Alexander Hamilton
American History,Constitution,The Heritage Guide to the Constitution,Edwin Meese III
American History,Constitution,The Making of America: The Substance and Meaning of the Constitution,W. Cleon Skousen
American History,Coolidge,Coolidge,Amity Shlaes
American History,Documents,American Historical Documents 1000 to 1904: Part 43 Harvard Classics,Charles William Eliot
American History,Documents,Our Nation's Archive: The History of the United States in Documents,Erik Bruun
American History,Epidemics,"The American Plague: The Untold Story of Yellow Fever, the Epidemic that Shaped Our History",Molly Caldwell Crosby
American History,FDR,FDR,Jean Edward Smith
American History,Founders,Alexander Hamilton,Ron Chernow
American History,Founders,Benjamin Franklin: An American Life,Walter Isaacson
American History,Founders,James Madison: A Biography,Ralph Louis Ketcham
American History,Founders,Jefferson: Architect of American Liberty,John B. Boles
American History,Founders,Thomas Jefferson: Writings,Thomas Jefferson
American History,Founding,City upon a Hill The Legacy of America's Founding,Frank W. Fox
American History,Founding,Founding Mothers,Cokie Roberts
American History,Founding,John Adams,David McCullough
American History,Founding,"The First Congress: How James Madison, George Washington, and a Group of Extraordinary Men Invented the Government",Fergus M. Bordewich
American History,Founding,"The Quartet: Orchestrating the Second American Revolution, 1783-1789",Joseph J. Ellis
American History,Founding Fathers,The First American: The Life and Times of Benjamin Franklin,H.W. Brands
American History,Franklin,The Autobiography of Benjamin Franklin,Benjamin Franklin
American History,Frontier,Pioneer Women: Voices from the Kansas Frontier,Joanna L. Stratton
American History,Grant,American Ulysses: A Life of Ulysses S. Grant,Ronald C. White Jr.
American History,Great Depression,The Forgotten Man: A New History of the Great Depression,Amity Shlaes
American History,Jackson,Andrew Jackson: His Life and Times,H.W. Brands
American History,Jackson,The Life of Andrew Jackson,Marquis James
American History,Korean War,The Coldest Winter: America and the Korean War,David Halberstam
American History,LDS Education,The spirit of Ricks: A history of Ricks College,David Lester Crowder
American History,Law,A History of American Law,Lawrence M. Friedman
American History,Lincoln,Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin
American History,McKinley,President McKinley: Architect of the American Century,Robert W. Merry
American History,Middle East,"Power, Faith, and Fantasy: America in the Middle East 1776 to the Present",Michael B. Oren
American History,Mormon History,"Great Basin Kingdom: An Economic History of the Latter-day Saints, 1830-1900",Leonard J. Arrington
American History,Native Americans,"America's Fascinating Indian Heritage: The First Americans: Their Customs, Art, History and How They Lived",Reader's Digest Association
American History,New York City,Gotham: A History of New York City to 1898,Edwin G. Burrows
American History,Oklahoma City,"Boom Town: The Fantastical Saga of Oklahoma City, Its Chaotic Founding, Its Apocalyptic Weather, Its Purloined Basketball Team, and the Dream of Becoming a World-class Metropolis",Sam Anderson
American History,Revolution,1776,David McCullough
American History,Revolution,"John Paul Jones: Sailor, Hero, Father of the American Navy",Evan Thomas
American History,Revolution,Patrick Henry: Champion of Liberty,Jon Kukla
American History,Revolution,"The Glorious Cause: The American Revolution, 1763-1789 (Oxford History of the United States)",Robert Middlekauff
American History,Theodore Roosevelt,T.R.: The Last Romantic,H.W. Brands
American History,Theodore Roosevelt,"Theodore Rex  (Theodore Roosevelt, #2)",Edmund  Morris
American History,Utah,"Founding Fort Utah: Provo's Native Inhabitants, Early Explorers, and First Year of Settlement",D. Robert Carter
American History,WWII,Flags of Our Fathers,James D. Bradley
American History,WWII,"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand
American History,War of 1812,1812: The War That Forged a Nation,Walter R. Borneman
American History,Washington,Washington,Douglas Southall Freeman
Biography/Memoir,,Naturally Tan,Tan France
Biography/Memoir,Malala,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai
Biography/Memoir,Military,"By Honor Bound: Two Navy SEALs, the Medal of Honor, and a Story of Extraordinary Courage",Tom Norris
Biography/Memoir,Princess Diana,Diana: Her True Story in Her Own Words,Andrew Morton
Biography/Memoir,Royalty,The Queen Mother: The Official Biography,William Shawcross
Biography/Memoir,TV,The Answer Is…: Reflections on My Life,Alex Trebek
Business/Economics,,Trump: The Art of the Deal,Donald J. Trump
Business/Economics,,"Trump: Think Like a Billionaire: Everything You Need to Know About Success, Real Estate, and Life",Donald J. Trump
Business/Economics,Carnegie,Andrew Carnegie,David Nasaw
Business/Economics,Classic economics,The Wealth of Nations,Adam Smith
Business/Economics,Economic History,The Wealth and Poverty of Nations: Why Some Are So Rich and Some So Poor,David S. Landes
Business/Economics,Economics,Basic Economics: A Citizen's Guide to the Economy,Thomas Sowell
Business/Economics,Economics,Economics and Public Policy: An Analytical Approach,James R. Kearl
Business/Economics,Economics,The Bastiat Collection,Frédéric Bastiat
Business/Economics,Enron,The Smartest Guys in the Room: The Amazing Rise and Scandalous Fall of Enron,Bethany McLean
Business/Economics,Federal Reserve,Fed Up: An Insider's Take on Why the Federal Reserve is Bad for America,Danielle DiMartino Booth
Business/Economics,Federal Reserve,The Creature from Jekyll Island: A Second Look at the Federal Reserve,G. Edward Griffin
Business/Economics,Financial Crisis,Too Big to Fail: The Inside Story of How Wall Street and Washington Fought to Save the Financial System from Crisis — and Themselves,Andrew Ross Sorkin
Business/Economics,Financial History,Lords of Finance: The Bankers Who Broke the World,Liaquat Ahamed
Business/Economics,Friedman,Free to Choose: A Personal Statement,Milton Friedman
Business/Economics,Hayek,"The Road to Serfdom / Text and Documents, The Definitive Edition",Friedrich A. Hayek
Business/Economics,Investing,A Random Walk Down Wall Street: The Time-Tested Strategy for Successful Investing,Burton G. Malkiel
Business/Economics,J.P. Morgan,Morgan: American Financier,Jean Strouse
Business/Economics,Management,Good to Great: Why Some Companies Make the Leap... and Others Don't,Jim Collins
Business/Economics,Management,Principles: Life and Work,Ray Dalio
Business/Economics,Management,The Five Dysfunctions of a Team,Patrick Lencioni
Business/Economics,Marriott,Bill Marriott: Success Is Never Final--his Life and the Decisions That Built a Hotel Empire,Dale Van Atta
Business/Economics,Memoir,Barefoot to Billionaire: Reflections on a Life's Work and a Promise to Cure Cancer,Jon M. Huntsman Sr.
Business/Economics,Monetary Policy,End the Fed,Ron Paul
Business/Economics,Nike,Shoe Dog: A Memoir by the Creator of Nike,Phil Knight
Business/Economics,Oil Industry,Breaking Rockefeller: The Incredible Story of the Ambitious Rivals Who Toppled an Oil Empire,Peter B. Doran
Business/Economics,Personal Finance,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley
Business/Economics,Personal Finance,The Total Money Makeover: A Proven Plan for Financial Fitness,Dave Ramsey
Business/Economics,Pixar,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull
Business/Economics,Real Estate,Appraising Real Property,Byrl N. Boyce
Business/Economics,Real Estate Law,"Real Estate Transactions: Problems, Cases, and Materials",Robin Paul Malloy
Business/Economics,Risk/Finance,Against the Gods: The Remarkable Story of Risk,Peter L. Bernstein
Business/Economics,Steve Jobs,Steve Jobs,Walter Isaacson
Business/Economics,Tax Policy,The FairTax Book: Saying Goodbye to the Income Tax and the IRS,Neal Boortz
Business/Economics,Tesla,Ludicrous: The Unvarnished Story of Tesla Motors,Edward Niedermeyer
Business/Economics,Trade Policy,American Trade Politics,I.M. Destler
Business/Economics,Video games,Super Mario: How Nintendo Conquered America,Jeff   Ryan
Business/Economics,Wall Street,Barbarians at the Gate: The Fall of RJR Nabisco,Bryan Burrough
Business/Economics,Wall Street,Flash Boys: A Wall Street Revolt,Michael   Lewis
Business/Economics,Wall Street,Liar's Poker,Michael   Lewis
Children's Books,,"Skating Shoes (Shoes, #7)",Noel Streatfeild
Children's Books,,The Tale of Despereaux,Kate DiCamillo
Children's Books,Anthology,Reader's Digest Great Stories for Young Readers,Reader's Digest Association
Children's Books,Anthology,True Heroes: A Treasury of Modern-day Fairy Tales Written by Best-Selling Authors,Jonathan Diaz
Children's Books,Classic,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery
Children's Books,Classic,"Peter Pan (Peter Pan, #2)",J.M. Barrie
