Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
21063,"The Bloody Crown of Conan (Conan the Cimmerian, #2)",Robert E. Howard,"Howard, Robert E.","Patrice Louinet, Gary Gianni, Rusty Burke","=""0345461525""","=""9780345461520""",0,Del Rey,Paperback,367,2004,2003,,2026/07/14,to-read,to-read (#1916),to-read,,,,0,0
62039255,Mozart in Motion: His Work and His World in Pieces,Patrick Mackie,"Mackie, Patrick",,"=""037460620X""","=""9780374606206""",0,"Farrar, Straus and Giroux",Hardcover,368,2023,,,2024/01/03,"library-audio, currently-reading","library-audio (#154), currently-reading (#5)",currently-reading,,,,1,0
33482,"The Coming of Conan the Cimmerian (Conan the Cimmerian, #1)",Robert E. Howard,"Howard, Robert E.",Mark Schultz,"=""0345483855""","=""9780345483850""",0,Del Rey,Hardcover,496,2005,2002,,2023/12/27,currently-reading,currently-reading (#4),currently-reading,,,,1,0
210300489,Isles of the Emberdark,Brandon Sanderson,"Sanderson, Brandon",,"=""1938570502""","=""9781938570506""",3.0,Dragonsteel Entertainment,Hardcover,465,2025,2025,2026/07/12,2024/07/12,,,read,,,,1,0
560637,"The Patchwork Girl of Oz (Oz, #7)",L. Frank Baum,"Baum, L. Frank","Peter Glassman, John R. Neill","=""0688133541""","=""9780688133542""",3.0,Books of Wonder,Hardcover,346,1995,1913,2026/07/12,2026/05/06,,,read,,,,1,0
7421457,"One Piece, Volume 52: Roger and Rayleigh",Eiichiro Oda,"Oda, Eiichiro",,"=""1421534681""","=""9781421534688""",0,VIZ Media LLC,Paperback,216,2010,2008,,2026/07/11,to-read,to-read (#1915),to-read,,,,0,0
7421460,"One Piece, Volume 51: The Eleven Supernovas",Eiichiro Oda,"Oda, Eiichiro",,"=""1421534673""","=""9781421534671""",0,VIZ Media LLC,Paperback,232,2010,2008,,2026/01/04,currently-reading,currently-reading (#3),currently-reading,,,,1,0
7421463,"One Piece, Volume 50: Arriving Again",Eiichiro Oda,"Oda, Eiichiro",,"=""1421534665""","=""9781421534664""",4.0,VIZ Media LLC,Paperback,208,2010,2008,2026/07/11,2025/12/31,,,read,,,,1,0
220993666,"Sounded In Every Ear: 1955-2020 (Saints, #4)",The Church of Jesus Christ of Latter-day Saints,"Saints, The Church of Jesus Christ of Latter-day",,"=""1629726508""","=""9781629726502""",0,The Church of Jesus Christ of Latter-Day Saints,Paperback,831,2024,,,2025/11/26,"to-read, provo","to-read (#1789), provo (#739)",to-read,,,,0,0
818540,Star Wars: From the Adventures of Luke Skywalker,George Lucas,"Lucas, George",Alan Dean Foster,"=""0345260791""","=""9780345260796""",0,Del Rey/Ballantine Books,Mass Market Paperback,220,1977,1976,,2026/07/07,"to-read, fictional-series","to-read (#1914), fictional-series (#49)",to-read,,,,0,0
68520,"The Winter King (The Warlord Chronicles, #1)",Bernard Cornwell,"Cornwell, Bernard",,"=""""","=""""",0,St. Martin's Griffin,Paperback,431,1997,1995,,2026/07/07,"to-read, king-arthur","to-read (#1913), king-arthur (#15)",to-read,,,,0,0
162898,A Connecticut Yankee in King Arthur's Court,Mark Twain,"Twain, Mark",,"=""""","=""""",0,Simon & Schuster,Paperback,480,2007,1889,,2026/07/07,"to-read, king-arthur","to-read (#1912), king-arthur (#13)",to-read,,,,0,0
393636,Idylls of the King,Alfred Tennyson,"Tennyson, Alfred",J.M. Gray,"=""""","=""""",0,Penguin Books Limited,Paperback,384,1989,1885,,2026/07/07,"to-read, king-arthur","to-read (#1911), king-arthur (#12)",to-read,,,,0,0
1297066,"Lancelot-Grail: The Old French Arthurian Vulgate and Post-Vulgate in Translation, Volume 1: The History of the Holy Grail and The Story of Merlin",Norris J. Lacy,"Lacy, Norris J.",,"=""0824077334""","=""9780824077334""",0,Routledge,Hardcover,458,1992,1992,,2026/07/07,"to-read, king-arthur","to-read (#1910), king-arthur (#9)",to-read,,,,0,0
587359,The Romance of Tristan and Iseult (Vintage Classics),Joseph Bédier,"Bédier, Joseph",Hilaire Belloc,"=""0679750169""","=""9780679750161""",0,Knopf Doubleday Publishing Group,Paperback,205,1994,1170,,2026/07/07,"to-read, king-arthur","to-read (#1909), king-arthur (#8)",to-read,,,,0,0
75124974,"The ruin of Britain, and other works / Gildas ; edited and translated [from the Latin] by Michael Winterbottom",Michael (1934-) Gildas (ca. 516-570). Winterbottom,"Winterbottom, Michael (1934-) Gildas (ca. 516-570).",,"=""""","=""""",0,London : Phillimore,Paperback,0,1978,540,,2026/07/07,"to-read, king-arthur","to-read (#1908), king-arthur (#7)",to-read,,,,0,0
21014004,Annales Cambriae,Paul Martin Remfry,"Remfry, Paul Martin",,"=""189937681X""","=""9781899376810""",0,SCS Publishing,Paperback,335,2010,2007,,2026/07/07,"to-read, king-arthur","to-read (#1907), king-arthur (#6)",to-read,,,,0,0
449589,Arthurian Romances,Chrétien de Troyes,"Troyes, Chrétien de","William W. Kibler, Carleton W. Carroll","=""0140445218""","=""9780140445213""",0,Penguin Books,Paperback,521,2004,1181,,2026/07/07,"to-read, king-arthur","to-read (#1906), king-arthur (#4)",to-read,,,,0,0
1316680,Roman de Brut,Wace,"Wace, Wace","Layamon, Eugene Mason","=""1419107763""","=""9781419107764""",0,Kessinger Publishing,Paperback,120,2004,1155,,2026/07/07,"to-read, king-arthur","to-read (#1905), king-arthur (#3)",to-read,,,,0,0
5974452,History of the Britons (Historia Brittonum) (Dodo Press),Nennius,"Nennius, Nennius",,"=""1406530727""","=""9781406530728""",0,Dodo Press,Paperback,42,2007,828,,2026/07/07,"to-read, king-arthur","to-read (#1904), king-arthur (#1)",to-read,,,,0,0
316113,"Little Wizard Stories of Oz (Oz, 7.5)",L. Frank Baum,"Baum, L. Frank",,"=""1419130919""","=""9781419130915""",0,Kessinger Publishing,Paperback,148,2004,1913,,2026/07/07,to-read,to-read (#1903),to-read,,,,0,0
19802,A World Lit Only by Fire: The Medieval Mind and the Renaissance: Portrait of an Age,William Manchester,"Manchester, William",,"=""0316545562""","=""9780316545563""",0,"Little, Brown and Company",Paperback,322,1993,1992,,2026/07/06,to-read,to-read (#1902),to-read,,,,0,0
17470797,A History of Ancient Egypt: From the First Farmers to the Great Pyramid,John Romer,"Romer, John",,"=""0141399716""","=""9780141399713""",0,Penguin,Paperback,512,2013,2012,,2022/06/06,to-read,to-read (#655),to-read,,,,0,0
43885900,In Defense of Elitism: Why I'm Better Than You and You are Better Than Someone Who Didn't Buy This Book,Joel Stein,"Stein, Joel",,"=""1455591475""","=""9781455591473""",0,Grand Central Publishing,Hardcover,336,2019,2019,,2026/07/04,to-read,to-read (#1901),to-read,,,,0,0
228928465,"A Parade of Horribles (Dungeon Crawler Carl, #8)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",3.0,,Hardcover,704,2026,2026,2026/07/01,2025/06/20,,,read,,,,1,0
103749,Persian Fire: The First World Empire and the Battle for the West,Tom Holland,"Holland, Tom",,"=""0385513119""","=""9780385513111""",4.0,Doubleday,Hardcover,418,2006,2005,2026/06/20,2019/07/13,,,read,"I was hoping for more info here on the Persian Empire, as the title and the description led me to believe there would be. But, except for a couple sections of the book, the Greek perspective is the main focus. Granted, more Greek writing from the time has survived but I still wanted more depth there. All together, still glad I read it.",,,1,0
34536546,Principles: Life and Work,Ray Dalio,"Dalio, Ray",,"=""1501124021""","=""9781501124020""",0,Avid Reader Press / Simon & Schuster,Hardcover,592,2017,2017,,2022/07/07,"to-read, provo","to-read (#659), provo (#338)",to-read,,,,0,0
4556058,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,"Riordan, Rick",,"=""1423101472""","=""9781423101475""",4.0,Disney-Hyperion Books,Hardcover,381,2009,2009,,2015/11/22,,,read,,,,1,0
40602373,Naturally Tan,Tan France,"France, Tan",,"=""""","=""""",0,St. Martin's Press,Hardcover,304,2019,2019,,2023/09/10,"to-read, provo","to-read (#1449), provo (#556)",to-read,,,,0,0
133863814,The Victor book of ballets and ballet music,Robert Rouben Mamoulian Collection Library of Congress Lawrence,"Lawrence, Robert Rouben Mamoulian Collection Library of Congress",,"=""""","=""""",0,Simon and Schuster,Hardcover,531,1950,,,2023/07/06,"to-read, provo","to-read (#1269), provo (#371)",to-read,,,,0,0
91401391,Stolen Youth: How Radicals Are Erasing Innocence and Indoctrinating a Generation,Bethany Mandel,"Mandel, Bethany",Karol Markowicz,"=""1956007083""","=""9781956007084""",0,Dw Books,Hardcover,295,2023,,,2023/02/02,to-read,to-read (#919),to-read,,,,0,0
44025140,"Master of the Phantom Isle (Dragonwatch, #3)",Brandon Mull,"Mull, Brandon",,"=""1629726044""","=""9781629726045""",0,Shadow Mountain,Hardcover,384,2019,2019,,2025/08/16,"to-read, provo","to-read (#1742), provo (#668)",to-read,,,,0,0
42051825,Republicans Buy Sneakers Too: How the Left Is Ruining Sports with Politics,Clay Travis,"Travis, Clay",,"=""""","=""""",0,HarperCollins,Hardcover,272,2018,2018,,2023/06/17,"to-read, provo","to-read (#1232), provo (#330)",to-read,,,,0,0
31934612,Deep Thinking: Where Machine Intelligence Ends and Human Creativity Begins,Garry Kasparov,"Kasparov, Garry",,"=""161039786X""","=""9781610397865""",0,PublicAffairs,Hardcover,304,2017,,,2023/01/04,to-read,to-read (#876),to-read,,,,0,0
62491118,The Third Gambit,Darrell Egbert,"Egbert, Darrell",,"=""0975446010""","=""9780975446010""",3.0,Publisher's Place,Paperback,204,2005,2011,2025/05/02,2023/07/09,provo,provo (#403),read,,,,1,0
16158577,Eleven Rings: The Soul of Success,Phil Jackson,"Jackson, Phil",Hugh Delehanty,"=""1594205116""","=""9781594205118""",0,Penguin Press,Hardcover,368,2013,2013,,2023/06/21,"to-read, provo","to-read (#1260), provo (#361)",to-read,,,,0,0
4830557,Economics and Public Policy: An Analytical Approach,James R. Kearl,"Kearl, James R.",,"=""0536821046""","=""9780536821041""",0,Pearson Custom,Hardcover,224,2004,,,2023/06/20,"to-read, provo","to-read (#1252), provo (#346)",to-read,,,,0,0
24376692,City upon a Hill The Legacy of America's Founding,Frank W. Fox,"Fox, Frank W.",,"=""1611650089""","=""9781611650082""",0,BYU Academic Publishing,Paperback,415,2010,2007,,2023/05/01,"to-read, provo","to-read (#1109), provo (#153)",to-read,,,,0,0
7321948,Ancient Greek Civilization,Jeremy McInerney,"McInerney, Jeremy",,"=""1565858093""","=""9781565858091""",0,The Teaching Company,Paperback,194,1998,,,2023/04/17,to-read,to-read (#1048),to-read,,,,0,0
53591852,Was God on Vacation: A WWII Autobiography,Jack Van Der Geest,"Geest, Jack Van Der",,"=""""","=""""",0,,Kindle Edition,177,2020,1995,,2015/12/17,to-read,to-read (#238),to-read,,,,0,0
9838567,Young Germany: History of the German Youth Movement (Social Science Classics),Walter Laqueur,"Laqueur, Walter",,"=""0878559604""","=""9780878559602""",0,Routledge,Paperback,280,1984,1984,,2025/06/30,to-read,to-read (#1734),to-read,,,,0,0
1509819,Was Bleibt,Christa Wolf,"Wolf, Christa",,"=""3423119292""","=""9783423119290""",0,Deutscher Taschenbuch Verlag,Paperback,107,1994,1990,,2018/11/30,to-read,to-read (#422),to-read,,,,0,0
14568863,A Treatise on the Constitutional Limitations,Thomas McIntyre Cooley,"Cooley, Thomas McIntyre",,"=""161619166X""","=""9781616191665""",0,"Lawbook Exchange, Ltd.",Paperback,772,2011,1998,,2021/12/31,to-read,to-read (#617),to-read,,,,0,0
36193197,Im Canyon: Fünf Tage und Nächte bis zur schwierigsten Entscheidung meines Lebens (German Edition),Aron Ralston,"Ralston, Aron",,"=""""","=""""",0,Ullstein eBooks,Kindle Edition,399,2016,2004,,2018/05/20,"to-read, on-the-shelf","to-read (#372), on-the-shelf (#20)",to-read,,,,0,0
55302,Intellectuals: From Marx and Tolstoy to Sartre and Chomsky,Paul  Johnson,"Johnson, Paul",,"=""1842120395""","=""9781842120392""",0,Harper Perennial,Paperback,416,2007,1988,,2023/05/10,"to-read, provo","to-read (#1152), provo (#210)",to-read,,,,0,0
37836,Pagans and Christians,Robin Lane Fox,"Fox, Robin Lane",,"=""0060628529""","=""9780060628529""",0,HarperCollins,Paperback,800,1988,1986,,2026/02/03,"to-read, provo","to-read (#1823), provo (#717)",to-read,,,,0,0
17270,Beyond Star Trek: Physics from Alien Invasions to the End of Time,Lawrence M. Krauss,"Krauss, Lawrence M.",,"=""046500637X""","=""9780465006373""",0,Basic Books,Hardcover,190,1997,1997,,2023/07/24,"to-read, provo","to-read (#1347), provo (#463)",to-read,,,,0,0
951749,"The Dying Earth (The Dying Earth, #1)",Jack Vance,"Vance, Jack",,"=""0671831526""","=""9780671831523""",0,Pocket Books,Paperback,156,1977,1950,,2026/06/24,to-read,to-read (#1900),to-read,,,,0,0
19771580,The 45 Second Presentation,Don Failla,"Failla, Don",,"=""8183222986""","=""9788183222983""",2.0,Manjul Publishing House,Paperback,144,2013,2003,2020/03/15,2020/03/15,,,read,,,,1,0
30050816,Hitler and Nazism,Louis L. Snyder,"Snyder, Louis L.",,"=""0552659371""","=""9780552659376""",3.0,Bantam Books,Mass Market Paperback,151,1967,1967,2021/05/01,2020/04/30,provo,provo (#73),read,,,,1,0
13480144,The Battle That Forged Modern Baseball: The Federal League Challenge and Its Legacy,Daniel R. Levitt,"Levitt, Daniel R.",,"=""1566638690""","=""9781566638692""",0,. Ivan R. Dee/Rowman & Littlefield Publishing Group,Hardcover,336,2012,2012,,2026/06/24,to-read,to-read (#1899),to-read,,,,0,0
60400,"The Ruins of Gorlan (Ranger's Apprentice, #1)",John Flanagan,"Flanagan, John",,"=""0142406635""","=""9780142406632""",0,Puffin Books,Paperback,249,2006,2004,,2026/06/22,"to-read, fictional-series","to-read (#1898), fictional-series (#48)",to-read,,,,0,0
